meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
scrum call SAP project ,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,14,ASP.NET MVC,Microsoft Avanade Agile Framework (AAF),Google cloud,16,11,"english, japanese",full time,11-Analyst,Azure,dot net,mba,IN,optional,No,instance,yes
Java proect KT call,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,24,Stakeholder Management,Microsoft Avanade Agile Framework (AAF),front end,13,11,"english, japanese",full time,6-Senior Manager,Microsoft backend,management,bca,US,required,No,instance,no
weekly status call ,Custom Software Engineering Specialist,Software Engineering > Quality Engineering Architecture,2,Applications Architecture,Microsoft Avanade Agile Framework (AAF),AWS,9,5,"english, hindi",part time,9-Team Lead/Consultant,AWS,google cloud,bca,SL,required,yes,instance,yes
java training call,Business Interlock Manager,Human Resources > People Advisor,22,Business Operation Management,SAP for Utilities ,management ,15,10,"english, german",full time,10-Senior Analyst,AWS,angular,btech,US,required,yes,series,yes
new vendor onboarding call,Packaged App Development Analyst,Software Engineering > Quality Engineering,10,Business Operation Management,Vendor Management,front end,17,12,"english, hindi",full time,11-Analyst,Azure,Java,mca,US,required,No,series,yes
Java proect KT call,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,2,Stakeholder Management,IT Troubleshooting,Azure,18,12,"english, japanese",full time,12-Associate,project management,dot net,btech,US,optional,No,instance,no
troubleshooting call - login issue,Tech Architecture Manager,Software Engineering > Packaged Application Development,3,Java Enterprise Edition,Microsoft Avanade Agile Framework (AAF),front end,11,8,"english, chinese",full time,12-Associate,Microsoft backend,Azure,btech,IN,required,No,series,yes
weekly status call ,Business Interlock Manager,Information Technology Operations > Software/Application/Cloud Tech Support,13,Advance Front End Development NodeJs,Agile Team Practices,java,19,11,"english, hindi",part time,10-Senior Analyst,project management,dot net,mba,PH,required,No,instance,yes
people lead connect - discuss queries,Talent Strategy Senior Manager,Software Engineering > Quality Engineering,6,Behavioral Sciences,Microsoft Avanade Agile Framework (AAF),Azure,2,5,"english, french",full time,12-Associate,Cloud,dot net,bca,CN,required,No,instance,no
scrum call SAP project ,Packaged App Development Analyst,Training & Development > Business Interlock,10,Microsoft ASP.NET,Quality Engineering Strategy Implementation,Google cloud,3,12,"english, hindi",part time,12-Associate,Microsoft backend,google cloud,btech,IN,optional,No,instance,yes
new vendor onboarding call,custom software engineering analyst,Software Engineering > Custom Software Engineering,7,SAP ABAP Development,Angular,management ,17,8,"english, hindi",full time,10-Senior Analyst,Microsoft backend,Azure,mca,IN,optional,yes,series,yes
troubleshooting call - login issue,Vendor Management Specialist,Software Engineering > Packaged Application Development,22,Microsoft Azure Machine Learning,Avanade Scrum Project Management,management ,12,8,"english, chinese",full time,10-Senior Analyst,AWS,SAP,btech,US,optional,No,instance,yes
troubleshooting call - login issue,People Advisor Analyst,Software Engineering > Custom Software Engineering,10,Business Operation Management,Amazon Web Services (AWS),Google cloud,1,11,"english, chinese",full time,10-Senior Analyst,Microsoft backend,Azure,btech,IN,required,No,instance,yes
troubleshooting call - login issue,Packaged App Development Analyst,Software Engineering > Packaged Application Development,16,Angular,ASP.NET MVC,management ,17,6,"english, french",full time,11-Analyst,project management,google cloud,mca,IN,optional,No,series,no
Java proect KT call,Packaged App Development Analyst,Training & Development > Business Interlock,27,Stakeholder Management,ASP.NET MVC,AWS,9,10,"english, hindi",part time,10-Senior Analyst,AWS,dot net,mba,PH,optional,No,instance,no
Agile scrum KT call,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,17,Behavioral Sciences,Agile Team Practices,front end,1,12,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,SAP,mba,CN,optional,No,series,no
scrum call SAP project ,Tech Architecture Manager,Software Engineering > Packaged Application Development,1,Angular,Candidate Relationship Management,Azure,19,12,"english, japanese",part time,8-Associate Manager,Google cloud,SAP,mca,PH,required,No,instance,yes
User login issue - client call,Packaged App Development Analyst,Software Engineering > Packaged Application Development,27,SAP ABAP Development,Amazon Web Services (AWS),Scrum,5,11,"english, hindi",full time,11-Analyst,project management,Java,btech,US,optional,yes,series,no
Test team status call,custom software engineering analyst,Software Engineering > Custom Software Engineering,9,Behavioral Sciences,Microsoft Avanade Agile Framework (AAF),management ,4,12,"english, hindi",full time,11-Analyst,AWS,management,btech,IN,required,yes,instance,yes
User login issue - client call,Quality Engineering Associate Manager,Technology & Information Architectures > Technology Architecture,16,.NET Architecture,Architectural Design,management ,1,6,"english, german",part time,8-Associate Manager,AWS,Java,btech,IN,optional,No,series,yes
User login issue - client call,Packaged App Development Analyst,Software Engineering > Quality Engineering,26,Microsoft Functional Testing,Architectural Design,Selenium,12,6,"english, hindi",full time,12-Associate,Azure,google cloud,mba,IN,optional,No,instance,no
scrum call SAP project ,custom software engineering analyst,Human Resources > Talent Strategy,24,Applications Architecture,Vendor Management,Google cloud,12,12,"english, japanese",full time,12-Associate,Cloud,dot net,mca,IN,required,No,series,yes
Java proect KT call,Vendor Management Specialist,Software Engineering > Packaged Application Development,13,Business Operation Management,Angular,AWS,16,10,"english, french",part time,12-Associate,AWS,Azure,btech,US,optional,yes,instance,no
Agile scrum KT call,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,26,Microsoft Functional Testing,IT Troubleshooting,management ,2,5,"english, chinese",full time,10-Senior Analyst,Google cloud,dot net,btech,IN,optional,No,series,yes
User login issue - client call,custom software engineering analyst,Software Engineering > Packaged Application Development,10,SAP ABAP Development,ASP.NET MVC,management ,17,3,"english, japanese",full time,10-Senior Analyst,Microsoft backend,Azure,mca,IN,optional,No,instance,no
people lead connect - discuss queries,custom software engineering analyst,Human Resources > Talent Strategy,10,Microsoft Functional Testing,Angular,AWS,14,12,"english, chinese",full time,11-Analyst,AWS,angular,mca,IN,required,No,instance,yes
Agile scrum KT call,Quality Engineering Team Lead,Technology & Information Architectures > Technology Architecture,29,Microsoft ASP.NET,IT Troubleshooting,java,18,11,"english, french",part time,10-Senior Analyst,Microsoft frontend,google cloud,bca,IN,required,No,series,yes
java training call,custom software engineering analyst,Training & Development > Business Interlock,7,Communications Development and Delivery,Microsoft Avanade Agile Framework (AAF),management ,3,12,"english, japanese",full time,12-Associate,Azure,management,mba,IN,optional,yes,series,no
people lead connect - discuss queries,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,26,Automated Testing,Microsoft Avanade Agile Framework (AAF),AWS,3,8,"english, hindi",full time,10-Senior Analyst,project management,Java,btech,US,optional,No,series,yes
java training call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,7,SAP ABAP Development,Angular,Azure,5,3,"english, hindi",full time,9-Team Lead/Consultant,project management,SAP,mba,US,required,yes,instance,yes
people lead connect - discuss queries,Vendor Management Specialist,Software Engineering > Custom Software Engineering,29,Business Operation Management,Quality Engineering Strategy Implementation,Azure,15,8,"english, hindi",full time,10-Senior Analyst,SAP,dot net,btech,US,required,yes,instance,yes
scrum call SAP project ,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,22,SAP ABAP Development,Microsoft Avanade Agile Framework (AAF),AWS,8,11,"english, french",full time,12-Associate,SAP,management,bca,IN,required,No,instance,yes
User login issue - client call,Packaged App Development Analyst,Training & Development > Business Interlock,19,Microsoft ASP.NET,Agile Team Practices,AWS,3,11,"english, german",full time,9-Team Lead/Consultant,Azure,SAP,btech,IN,required,yes,instance,yes
weekly status call ,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,7,ASP.NET MVC,Vendor Management,Azure,18,12,"english, german",full time,11-Analyst,Google cloud,Java,mba,US,optional,yes,instance,yes
people lead connect - discuss queries,custom software engineering analyst,Software Engineering > Custom Software Engineering,5,Angular,ASP.NET MVC,Scrum,3,5,"english, german",part time,11-Analyst,project management,dot net,mca,US,required,No,instance,no
Test team status call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,16,Angular,SAP for Utilities ,AWS,12,12,"english, hindi",part time,8-Associate Manager,Microsoft frontend,dot net,mba,US,required,yes,instance,yes
java training call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,6,Microsoft Functional Testing,Microsoft Avanade Agile Framework (AAF),SAP,12,12,"english, japanese",full time,8-Associate Manager,SAP,SAP,bca,PH,optional,No,instance,no
java training call,Business Interlock Manager,Software Engineering > Custom Software Engineering,12,Behavioral Sciences,Agile Team Practices,AWS,19,11,"english, german",full time,11-Analyst,SAP,google cloud,mba,PH,required,yes,series,yes
new vendor onboarding call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,25,Automated Testing,SAP for Utilities ,Scrum,2,12,"english, japanese",full time,12-Associate,Microsoft frontend,SAP,btech,CN,required,yes,instance,no
Test team status call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,16,Advance Front End Development NodeJs,Microsoft Avanade Agile Framework (AAF),AWS,2,12,"english, hindi",full time,8-Associate Manager,SAP,management,mca,PH,required,No,instance,no
Test team status call,People Advisor Analyst,Software Engineering > Packaged Application Development,6,Automated Testing,Microsoft Avanade Agile Framework (AAF),AWS,10,11,"english, chinese",full time,10-Senior Analyst,Cloud,Java,bca,US,required,yes,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,16,Communications Development and Delivery,Vendor Management,Azure,8,8,"english, french",full time,12-Associate,AWS,dot net,btech,IN,optional,No,series,no
Agile scrum KT call,Tech Architecture Manager,Human Resources > Talent Strategy,12,SAP ABAP Development,Candidate Relationship Management,Azure,10,8,"english, hindi",full time,6-Senior Manager,SAP,Azure,btech,IN,required,yes,instance,yes
scrum call SAP project ,Vendor Management Specialist,Information Technology Operations > Software/Application/Cloud Tech Support,19,Stakeholder Management,Vendor Management,management ,16,6,"english, japanese",full time,11-Analyst,Cloud,google cloud,btech,US,optional,No,instance,yes
